track_id,race_date,race_number,program_number,weight_carried,jockey,odds,position_at_finish
AQU,1/5/2019,4,6,121,Eric Cancel,640,2
AQU,1/5/2019,4,7,121,David Cohen,385,6
AQU,1/5/2019,4,8,121,Jose Lezcano,240,7
AQU,1/5/2019,5,1,121,Dylan Davis,870,2
AQU,1/5/2019,5,2,119,Manuel Franco,1400,5
AQU,1/5/2019,5,3,119,Michael J. Luzzi,1240,6
AQU,1/5/2019,5,4,119,Jose Lezcano,315,1
AQU,1/5/2019,5,5,112,Benjamin Hernandez,255,4
AQU,1/5/2019,5,6,119,Junior Alvarado,130,3
AQU,1/5/2019,6,1,115,Reylu Gutierrez,2875,5
AQU,1/5/2019,6,11,120,Dylan Davis,1790,7
AQU,1/5/2019,6,2,120,Manuel Franco,790,4
AQU,1/5/2019,6,3,120,Junior Alvarado,90,2
AQU,1/5/2019,6,5,120,Rafael Manuel Hernandez,7225,9
AQU,1/5/2019,6,6,120,Eric Cancel,760,6
AQU,1/5/2019,6,7,120,Jose Lezcano,1210,8
AQU,1/5/2019,6,8,120,Rajiv Maragh,1600,3
AQU,1/5/2019,6,9,120,Michael J. Luzzi,375,1
AQU,1/5/2019,7,1,121,Rajiv Maragh,285,2
AQU,1/5/2019,7,2,121,Christopher P. DeCarlo,750,4
AQU,1/5/2019,7,3,123,Dylan Davis,940,3
AQU,1/5/2019,7,5,118,Reylu Gutierrez,4700,5
AQU,1/5/2019,7,6,121,Junior Alvarado,275,7
AQU,1/5/2019,7,7,121,Manuel Franco,385,6
AQU,1/5/2019,7,8,123,Jose Lezcano,335,1
AQU,1/5/2019,8,10,118,Rajiv Maragh,190,3
AQU,1/5/2019,8,2,118,Christopher P. DeCarlo,2400,4
AQU,1/5/2019,8,3,120,Manuel Franco,170,1
AQU,1/5/2019,8,4,118,Dylan Davis,3975,7
AQU,1/5/2019,8,5,118,Reylu Gutierrez,2280,2
AQU,1/5/2019,8,6,118,Sheldon Russell,1170,6
AQU,1/5/2019,8,7,120,Jose Lezcano,550,5
AQU,1/5/2019,8,8,120,David Cohen,600,8
AQU,1/5/2019,9,1,123,Eric Cancel,590,1
AQU,1/5/2019,9,10,121,Dylan Davis,215,7
AQU,1/5/2019,9,5,116,Benjamin Hernandez,610,2
AQU,1/5/2019,9,6,121,Manuel Franco,120,3
AQU,1/5/2019,9,7,121,Michael J. Luzzi,1360,6
AQU,1/5/2019,9,8,123,Luis R. Reyes,3800,4
AQU,1/5/2019,9,9,116,Reylu Gutierrez,1900,5
AQU,1/6/2019,1,2,121,Hector Rafael Diaz Jr.,305,2
AQU,1/6/2019,1,3,123,Manuel Franco,250,1
AQU,1/6/2019,1,4,123,Jose Lezcano,70,4
AQU,1/6/2019,1,6,121,Eric Cancel,1200,3
AQU,1/6/2019,2,1,123,Jose Lezcano,100,1
AQU,1/6/2019,2,3,123,Andre Shivnarine Worrie,660,2
AQU,1/6/2019,2,4,123,Dylan Davis,240,4
AQU,1/6/2019,2,5,121,Edward Escobar,510,5
AQU,1/6/2019,2,6,123,Michael J. Luzzi,810,3
AQU,1/6/2019,3,2,121,Edward Escobar,5650,6
AQU,1/6/2019,3,3,121,Dylan Davis,210,1
AQU,1/6/2019,3,4,121,Rajiv Maragh,480,3
AQU,1/6/2019,3,5,115,Kevin Carmona,160,2
AQU,1/6/2019,3,6,116,Reylu Gutierrez,275,5
AQU,1/6/2019,3,7,121,Luis R. Reyes,2800,4
AQU,1/6/2019,4,1,119,Jose Lezcano,105,5
AQU,1/6/2019,4,2,119,Manuel Franco,620,1
AQU,1/6/2019,4,4,119,Dylan Davis,420,4
AQU,1/6/2019,4,5,122,Michael J. Luzzi,2230,3
AQU,1/6/2019,4,6,117,Reylu Gutierrez,200,2
AQU,1/6/2019,5,1,120,Manuel Franco,165,2
AQU,1/6/2019,5,2,120,Andre Shivnarine Worrie,2050,4
AQU,1/6/2019,5,3,115,Reylu Gutierrez,2340,8
AQU,1/6/2019,5,4,120,Dylan Davis,480,6
AQU,1/6/2019,5,5,120,Hector Rafael Diaz Jr.,1050,3
AQU,1/6/2019,5,6,120,Michael J. Luzzi,600,1
AQU,1/6/2019,5,7,120,Eric Cancel,340,7
AQU,1/6/2019,5,8,120,Harry Hernandez,830,5
AQU,1/6/2019,6,1,123,Dylan Davis,870,6
AQU,1/6/2019,6,2,121,Luis R. Reyes,365,5
AQU,1/6/2019,6,3,121,Manuel Franco,120,1
AQU,1/6/2019,6,4,123,Hector Rafael Diaz Jr.,1010,3
AQU,1/6/2019,6,5,124,Charlie Amaro,4375,7
AQU,1/6/2019,6,6,123,Eric Cancel,580,2
AQU,1/6/2019,6,7,116,Reylu Gutierrez,660,4
AQU,1/6/2019,6,8,123,Rajiv Maragh,2400,8
AQU,1/6/2019,7,1,112,Joey R. Martinez,6050,1
AQU,1/6/2019,7,2,120,Manuel Franco,740,6
AQU,1/6/2019,7,3,120,Junior Alvarado,120,5
AQU,1/6/2019,7,4,114,Reylu Gutierrez,110,2
AQU,1/6/2019,7,5,111,Benjamin Hernandez,1860,3
AQU,1/6/2019,7,6,120,Dylan Davis,1020,4
AQU,1/6/2019,8,1,119,Junior Alvarado,480,2
AQU,1/6/2019,8,2,121,Eric Cancel,1220,4
AQU,1/6/2019,8,3,119,Manuel Franco,215,3
AQU,1/6/2019,8,4,114,Reylu Gutierrez,375,7
AQU,1/6/2019,8,5,123,Andre Shivnarine Worrie,3000,8
AQU,1/6/2019,8,6,119,Luis R. Reyes,820,5
AQU,1/6/2019,8,7,121,Michael J. Luzzi,2750,9
AQU,1/6/2019,8,8,123,Dylan Davis,890,6
AQU,1/6/2019,8,9,119,Edwin Rivera,590,1
AQU,1/10/2019,1,1,125,Luis A. Rodriguez Castro,940,4
AQU,1/10/2019,1,1A ,125,Jorge M. Perez,940,3
AQU,1/10/2019,1,2,123,Junior Alvarado,90,1
AQU,1/10/2019,1,3,125,Manuel Franco,195,2
AQU,1/10/2019,1,4,125,Eric Cancel,1010,5
AQU,1/10/2019,1,5,123,Dylan Davis,560,6
AQU,1/10/2019,2,1,123,Michael J. Luzzi,1440,4
AQU,1/10/2019,2,2,123,Manuel Franco,410,5
AQU,1/10/2019,2,3,123,Junior Alvarado,120,1
AQU,1/10/2019,2,4,116,Benjamin Hernandez,155,3
AQU,1/10/2019,2,5,123,Rajiv Maragh,990,2
AQU,1/10/2019,3,1,116,Kevin Carmona,240,1
AQU,1/10/2019,3,2,123,Talbert Howell,3500,6
AQU,1/10/2019,3,3,123,Harry Hernandez,235,4
AQU,1/10/2019,3,5,123,Manuel Franco,195,3
AQU,1/10/2019,3,6,116,Joey R. Martinez,710,2
AQU,1/10/2019,3,7,123,Luis R. Reyes,740,5
AQU,1/10/2019,4,1,118,Reylu Gutierrez,640,3
AQU,1/10/2019,4,2,123,Michael J. Luzzi,770,4
AQU,1/10/2019,4,3,123,Dylan Davis,600,1
AQU,1/10/2019,4,4,123,Eric Cancel,420,2
AQU,1/10/2019,4,5,118,Junior Alvarado,550,5
AQU,1/10/2019,4,6,123,Christopher P. DeCarlo,115,6
AQU,1/10/2019,5,1,125,Dylan Davis,350,2
AQU,1/10/2019,5,2,123,Carlos J. Hernandez,1010,6
AQU,1/10/2019,5,3,123,Eric Cancel,1930,3
AQU,1/10/2019,5,4,125,Junior Alvarado,140,1
AQU,1/10/2019,5,5,125,Manuel Franco,245,4
AQU,1/10/2019,5,6,123,Rajiv Maragh,640,5
AQU,1/11/2019,1,1,123,Dylan Davis,420,5
AQU,1/11/2019,1,2,123,Manuel Franco,680,1
AQU,1/11/2019,1,3,123,Luis R. Reyes,5375,4
AQU,1/11/2019,1,4,123,Jose Lezcano,410,6
AQU,1/11/2019,1,5,118,Reylu Gutierrez,660,3
AQU,1/11/2019,1,6,123,Eric Cancel,85,2
AQU,1/11/2019,2,1,123,Manuel Franco,160,2
AQU,1/11/2019,2,2,123,Junior Alvarado,355,6
AQU,1/11/2019,2,3,125,Eric Cancel,2350,4
AQU,1/11/2019,2,4,125,Dylan Davis,2030,3
AQU,1/11/2019,2,5,123,Rajiv Maragh,170,1
AQU,1/11/2019,2,6,123,Jose Lezcano,640,5
AQU,1/11/2019,3,3,122,Dylan Davis,1430,5
AQU,1/11/2019,3,4,122,Rajiv Maragh,60,1
AQU,1/11/2019,3,5,115,Joey R. Martinez,1130,4
AQU,1/11/2019,3,6,122,Rafael Manuel Hernandez,720,2
AQU,1/11/2019,3,7,122,Joel Sone,4275,6
AQU,1/11/2019,3,8,122,Jose Lezcano,245,3
AQU,1/11/2019,4,1,125,Carlos J. Hernandez,3525,3
AQU,1/11/2019,4,2,125,Junior Alvarado,305,1
AQU,1/11/2019,4,3,123,Jose Lezcano,255,4
AQU,1/11/2019,4,5,125,Manuel Franco,80,2
AQU,1/11/2019,4,6,118,Reylu Gutierrez,990,5
AQU,1/11/2019,5,2,122,Luis R. Reyes,3425,5
AQU,1/11/2019,5,4,115,Benjamin Hernandez,330,2
AQU,1/11/2019,5,5,122,Dylan Davis,250,1
AQU,1/11/2019,5,6,122,Ruben Silvera,1780,6
AQU,1/11/2019,5,7,115,Kevin Carmona,2500,3
AQU,1/11/2019,5,8,122,Jose Lezcano,80,4
AQU,1/11/2019,6,2,117,Reylu Gutierrez,2650,4
AQU,1/11/2019,6,3,122,Rajiv Maragh,810,2
AQU,1/11/2019,6,4,122,Dylan Davis,1230,3
AQU,1/11/2019,6,5,126,Junior Alvarado,40,1
AQU,1/11/2019,6,6,122,Dalton Brown,4150,7
AQU,1/11/2019,6,7,122,Joel Sone,8575,6
AQU,1/11/2019,6,8,122,Harry Hernandez,1070,8
AQU,1/11/2019,6,9,126,Manuel Franco,540,5
AQU,1/11/2019,7,1,123,Jose Lezcano,560,1
AQU,1/11/2019,7,10,123,Rafael Manuel Hernandez,3175,2
AQU,1/11/2019,7,11,125,Manuel Franco,450,10
AQU,1/11/2019,7,2,125,Junior Alvarado,125,3
AQU,1/11/2019,7,3,116,Kevin Carmona,1220,4
AQU,1/11/2019,7,4,123,Dylan Davis,1050,9
AQU,1/11/2019,7,5,118,Reylu Gutierrez,890,8
AQU,1/11/2019,7,6,123,Luis R. Reyes,1810,6
AQU,1/11/2019,7,7,116,Joey R. Martinez,1550,5
AQU,1/11/2019,7,8,125,Harry Hernandez,6000,7
AQU,1/11/2019,8,1,123,Dalton Brown,5000,8
AQU,1/11/2019,8,10,116,Benjamin Hernandez,430,6
AQU,1/11/2019,8,11,116,Joey R. Martinez,2800,7
AQU,1/11/2019,8,1A ,113,Heman K. Harkie,5000,11
AQU,1/11/2019,8,2,123,Hector Rafael Diaz Jr.,6950,10
AQU,1/11/2019,8,3,123,Rajiv Maragh,255,4
AQU,1/11/2019,8,4,123,Luis R. Reyes,1590,3
AQU,1/11/2019,8,5,116,Cristina Bonilla,12025,12
AQU,1/11/2019,8,6,123,Harry Hernandez,2725,2
AQU,1/11/2019,8,7,123,Samuel Jimenez,3950,9
AQU,1/11/2019,8,8,123,Eric Cancel,630,5
AQU,1/11/2019,8,9,118,Reylu Gutierrez,150,1
AQU,1/12/2019,1,1,122,Manuel Franco,110,2
AQU,1/12/2019,1,2,122,Luis R. Reyes,650,1
AQU,1/12/2019,1,3,122,Rajiv Maragh,490,7
AQU,1/12/2019,1,4,122,Hector Rafael Diaz Jr.,3000,3
AQU,1/12/2019,1,5,122,Harry Hernandez,1090,4
AQU,1/12/2019,1,6,115,Benjamin Hernandez,3475,6
AQU,1/12/2019,1,7,120,Jose Lezcano,260,5
AQU,1/12/2019,2,1,121,Dylan Davis,450,4
AQU,1/12/2019,2,2,114,Joey R. Martinez,3275,6
AQU,1/12/2019,2,3,121,Manuel Franco,180,3
AQU,1/12/2019,2,4,121,Hector Rafael Diaz Jr.,870,7
AQU,1/12/2019,2,5,121,Rafael Manuel Hernandez,305,2
AQU,1/12/2019,2,6,121,Samuel Camacho Jr.,6625,5
AQU,1/12/2019,2,7,125,Luis R. Reyes,275,1
AQU,1/12/2019,3,2,125,Junior Alvarado,215,2
AQU,1/12/2019,3,3,118,Reylu Gutierrez,1460,5
AQU,1/12/2019,3,4,123,Manuel Franco,1220,1
AQU,1/12/2019,3,5,125,Jose Lezcano,265,3
AQU,1/12/2019,3,6,125,Dylan Davis,990,6
AQU,1/12/2019,3,7,116,Benjamin Hernandez,165,4
AQU,1/12/2019,4,1,122,Carlos J. Hernandez,1770,8
AQU,1/12/2019,4,2,122,Manuel Franco,260,3
AQU,1/12/2019,4,3,122,Andre Shivnarine Worrie,8025,1
AQU,1/12/2019,4,4,122,Eric Cancel,1730,5
AQU,1/12/2019,4,5,122,Jose Lezcano,60,4
AQU,1/12/2019,4,6,122,Rafael Manuel Hernandez,6825,2
AQU,1/12/2019,4,8,115,Joey R. Martinez,6025,6
AQU,1/12/2019,4,9,117,Reylu Gutierrez,550,7
AQU,1/12/2019,5,1,123,Dylan Davis,930,3
AQU,1/12/2019,5,2,123,Tzeonn Chang,5400,8
AQU,1/12/2019,5,3,118,Reylu Gutierrez,2050,6
AQU,1/12/2019,5,4,123,Jose Lezcano,330,1
AQU,1/12/2019,5,5,125,Eric Cancel,100,5
AQU,1/12/2019,5,6,123,Manuel Franco,660,4
AQU,1/12/2019,5,7,118,Benjamin Hernandez,3975,7
AQU,1/12/2019,5,8,125,Rajiv Maragh,550,2
AQU,1/12/2019,6,1,121,Harry Hernandez,6875,8
AQU,1/12/2019,6,2,123,Carlos J. Hernandez,2120,7
AQU,1/12/2019,6,3,121,Dylan Davis,910,3
AQU,1/12/2019,6,4,123,Eric Cancel,170,2
AQU,1/12/2019,6,5,121,Hector Rafael Diaz Jr.,650,1
AQU,1/12/2019,6,6,116,Joey R. Martinez,690,4
AQU,1/12/2019,6,7,121,Junior Alvarado,280,5
AQU,1/12/2019,6,8,121,Michael J. Luzzi,580,6
AQU,1/12/2019,7,1,123,Junior Alvarado,420,7
AQU,1/12/2019,7,10,123,Rajiv Maragh,5600,8
AQU,1/12/2019,7,11,123,Michael J. Luzzi,910,1
AQU,1/12/2019,7,2,125,Luis R. Reyes,2775,5
AQU,1/12/2019,7,3,123,Eric Cancel,460,6
AQU,1/12/2019,7,5,123,Dylan Davis,1840,9
AQU,1/12/2019,7,6,125,Jose Lezcano,360,2
AQU,1/12/2019,7,7,125,Manuel Franco,640,4
AQU,1/12/2019,7,8,125,David Cohen,360,3
AQU,1/12/2019,7,9,118,Reylu Gutierrez,1710,10
AQU,1/12/2019,8,1,120,Jose Lezcano,3050,8
AQU,1/12/2019,8,2,125,Junior Alvarado,115,3
AQU,1/12/2019,8,4,125,Reylu Gutierrez,3125,7
AQU,1/12/2019,8,5,121,David Cohen,1730,6
AQU,1/12/2019,8,6,120,Eric Cancel,460,5
AQU,1/12/2019,8,7,120,Rajiv Maragh,610,2
AQU,1/12/2019,8,8,120,Michael J. Luzzi,6275,4
AQU,1/12/2019,8,9,120,Manuel Franco,255,1
AQU,1/12/2019,9,1,123,Junior Alvarado,60,1
AQU,1/12/2019,9,10,123,Carlos J. Hernandez,1320,3
AQU,1/12/2019,9,1A ,123,Luis R. Reyes,60,9
AQU,1/12/2019,9,2,123,Dalton Brown,1620,4
AQU,1/12/2019,9,3,123,Michael J. Luzzi,590,6
AQU,1/12/2019,9,4,118,Reylu Gutierrez,4725,8
AQU,1/12/2019,9,5,123,Gavin Coetzee,8400,10
AQU,1/12/2019,9,6,113,Heman K. Harkie,1790,5
AQU,1/12/2019,9,7,116,Benjamin Hernandez,990,2
AQU,1/12/2019,9,8,123,Dylan Davis,2170,11
AQU,1/12/2019,9,9,123,Andre Shivnarine Worrie,980,7
AQU,1/13/2019,1,1,122,Jose Lezcano,420,2
AQU,1/13/2019,1,2,122,Harry Hernandez,1800,3
AQU,1/13/2019,1,3,122,Manuel Franco,20,1
AQU,1/13/2019,1,4,117,Reylu Gutierrez,2775,5
AQU,1/13/2019,1,5,122,Dylan Davis,950,4
AQU,1/13/2019,2,1,121,Dylan Davis,80,1
AQU,1/13/2019,2,2,121,Rafael Manuel Hernandez,950,4
AQU,1/13/2019,2,3,121,Eric Cancel,4225,3
AQU,1/13/2019,2,4,123,Junior Alvarado,355,6
AQU,1/13/2019,2,5,121,Hector Rafael Diaz Jr.,5400,5
AQU,1/13/2019,2,6,123,Manuel Franco,245,2
AQU,1/13/2019,3,1,123,Dylan Davis,510,1
AQU,1/13/2019,3,2,118,Reylu Gutierrez,800,4
AQU,1/13/2019,3,3,123,Rafael Manuel Hernandez,3100,5
AQU,1/13/2019,3,4,123,Manuel Franco,95,2
AQU,1/13/2019,3,5,125,Rajiv Maragh,810,6
AQU,1/13/2019,3,6,125,Eric Cancel,260,3
AQU,1/13/2019,4,1,122,Harry Hernandez,940,8
AQU,1/13/2019,4,2,115,Joey R. Martinez,740,4
AQU,1/13/2019,4,3,122,Luis R. Reyes,800,1
AQU,1/13/2019,4,4,115,Benjamin Hernandez,6050,7
AQU,1/13/2019,4,5,122,Hector Rafael Diaz Jr.,1040,3
AQU,1/13/2019,4,6,122,Junior Alvarado,65,6
AQU,1/13/2019,4,7,117,Reylu Gutierrez,810,5
AQU,1/13/2019,4,8,122,Michael J. Luzzi,1890,2
AQU,1/13/2019,5,1,116,Benjamin Hernandez,480,3
AQU,1/13/2019,5,2,116,Joey R. Martinez,1450,6
AQU,1/13/2019,5,3,113,Heman K. Harkie,6450,5
AQU,1/13/2019,5,4,125,Manuel Franco,260,1
AQU,1/13/2019,5,5,125,Hector Rafael Diaz Jr.,2900,9
AQU,1/13/2019,5,6,125,Jose Lezcano,470,7
AQU,1/13/2019,5,7,120,Reylu Gutierrez,360,4
AQU,1/13/2019,5,8,123,Andre Shivnarine Worrie,1010,2
AQU,1/13/2019,5,9,123,Ruben Silvera,550,8
AQU,1/13/2019,6,1,122,Eric Cancel,430,3
AQU,1/13/2019,6,2,122,Christopher P. DeCarlo,530,5
AQU,1/13/2019,6,3,122,Rajiv Maragh,950,6
AQU,1/13/2019,6,4,122,Jose Lezcano,1080,2
AQU,1/13/2019,6,5,122,Dylan Davis,1940,4
AQU,1/13/2019,6,6,122,Luis R. Reyes,4575,7
AQU,1/13/2019,6,7,122,Junior Alvarado,345,1
AQU,1/13/2019,6,8,122,Manuel Franco,165,8
AQU,1/13/2019,7,1,120,Reylu Gutierrez,3175,9
AQU,1/13/2019,7,11,120,Dana G. Whitney,1940,5
AQU,1/13/2019,7,2,124,Dylan Davis,110,1
AQU,1/13/2019,7,3,120,Rajiv Maragh,3750,8
AQU,1/13/2019,7,4,120,Manuel Franco,690,2
AQU,1/13/2019,7,5,120,Ruben Silvera,4450,4
AQU,1/13/2019,7,6,120,Eric Cancel,380,3
AQU,1/13/2019,7,7,120,Junior Alvarado,1260,6
AQU,1/13/2019,7,9,120,Jose Lezcano,420,7
AQU,1/13/2019,8,10,125,Junior Alvarado,680,9
AQU,1/13/2019,8,2,125,Eric Cancel,540,2
AQU,1/13/2019,8,3,125,Christopher P. DeCarlo,7425,7
AQU,1/13/2019,8,4,118,Reylu Gutierrez,190,1
AQU,1/13/2019,8,5,118,Benjamin Hernandez,1410,3
AQU,1/13/2019,8,6,123,Dylan Davis,510,5
AQU,1/13/2019,8,7,123,Samuel Camacho Jr.,5475,4
AQU,1/13/2019,8,8,125,Jose Lezcano,380,6
AQU,1/13/2019,8,9,125,Rajiv Maragh,900,8
